Found:4300
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 104 | fetch(window.NOTIFICATION_ENDPOINTS.list, {credentials: 'same-origin'}).then(r => r.json()).then(data => { console.log('Notifications fetched (nav):', data); notifications = data; try { notificationCount = notifications.filter(n => !n.read).length; } catch(e){} }).catch(err=>{ console.error('Notifications fetch error (nav):', err); });
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 111 | } catch(e) { console.error('Notifications init error (nav):', e); }
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 157 | <!-- Notifications Bell -->
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 175 | console.log('Notifications fetched (nav):', data);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 179 | }).catch(err=>{ console.error('Notifications fetch error (nav):', err); });
Notifications | Notifications | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 261 | console.debug('[Notifications] updateUnread called (merchant)');
Notifications | Notifications | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 263 | console.debug('[Notifications] requesting unread (merchant):', window.NOTIFICATION_ENDPOINTS.unread);
Notifications | Notifications | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 265 | console.debug('[Notifications] unread response (merchant):', res);
Notifications | Notifications | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 267 | console.debug('[Notifications] unread data (merchant):', data);
Notifications | Notifications | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 278 | console.log('Notifications fetched (merchant on delta):', listData);
Notifications | Notifications | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 296 | console.error('Notifications fetch error (merchant on delta):', err);
Notifications | Notifications | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 308 | fetch(window.NOTIFICATION_ENDPOINTS.list, {credentials: 'same-origin'}).then(r => r.json()).then(data => { console.log('Notifications fetched (merchant):', data); component.notifications = data; try { component.notificationCount = component.notifications.filter(n => !n.read).length; } catch(e){} }).catch(err=>{ console.error('Notifications fetch error (merchant):', err); });
Notifications | Notifications | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 311 | } catch(e) { console.error('Notifications init error (merchant):', e); }
Personal | Personal | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 196 | <option value="user" {{ old('role', 'user') === 'user' ? 'selected' : '' }}>Personal</option>
Personal | Personal | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 196 | <option value="user" {{ old('role', 'user') === 'user' ? 'selected' : '' }}>Personal</option>
Business | Business | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 197 | <option value="merchant" {{ old('role') === 'merchant' ? 'selected' : '' }}>Business</option>
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 116 | <!-- Business Tab -->
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 121 | <!-- Business Email -->
